frontendId,fileName,catalog,title,titleCN,slug,tags,difficulty,status,similar
LCP 59,LCP_59,lcp,搭桥过河,搭桥过河,NfY1m5,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
LCP 57,LCP_57,lcp,打地鼠,打地鼠,ZbAuEH,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵,Sorting|sorting|排序",Hard,False,
LCP 55,LCP_55,lcp,采集果实,采集果实,PTXy4P,Array|array|数组,Easy,False,
LCP 56,LCP_56,lcp,信物传送,信物传送,6UEx57,"Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Array|array|数组,Matrix|matrix|矩阵,Shortest Path|shortest-path|最短路,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Medium,False,
LCP 51,LCP_51,lcp,烹饪料理,烹饪料理,UEcfPD,"Bit Manipulation|bit-manipulation|位运算,Array|array|数组,Backtracking|backtracking|回溯,Enumeration|enumeration|枚举",Easy,False,
LCP 52,LCP_52,lcp,二叉搜索树染色,二叉搜索树染色,QO5KpG,"Tree|tree|树,Segment Tree|segment-tree|线段树,Binary Search Tree|binary-search-tree|二叉搜索树,Array|array|数组,Binary Search|binary-search|二分查找,Binary Tree|binary-tree|二叉树,Ordered Set|ordered-set|有序集合",Medium,False,
LCP 54,LCP_54,lcp,夺回据点,夺回据点,s5kipK,"Graph|graph|图,Array|array|数组,Biconnected Component|biconnected-component|双连通分量",Hard,False,
LCP 50,LCP_50,lcp,宝石补给,宝石补给,WHnhjV,"Array|array|数组,Simulation|simulation|模拟",Easy,False,
LCP 45,LCP_45,lcp,自行车炫技赛场,自行车炫技赛场,kplEvH,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Memoization|memoization|记忆化搜索,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵",Medium,False,
LCP 53,LCP_53,lcp,守护太空城,守护太空城,EJvmW4,"Bit Manipulation|bit-manipulation|位运算,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Bitmask|bitmask|状态压缩",Hard,False,
LCP 48,LCP_48,lcp,无限棋局,无限棋局,fsa7oZ,"Array|array|数组,Math|math|数学,Enumeration|enumeration|枚举,Game Theory|game-theory|博弈",Hard,False,
LCP 42,LCP_42,lcp,玩具套圈,玩具套圈,vFjcfV,"Geometry|geometry|几何,Array|array|数组,Hash Table|hash-table|哈希表,Math|math|数学,Binary Search|binary-search|二分查找,Sorting|sorting|排序",Hard,False,
LCP 40,LCP_40,lcp,心算挑战,心算挑战,uOAnQW,"Greedy|greedy|贪心,Array|array|数组,Sorting|sorting|排序",Easy,False,
LCP 46,LCP_46,lcp,志愿者调配,志愿者调配,05ZEDJ,"Graph|graph|图,Array|array|数组,Math|math|数学",Medium,False,
LCP 41,LCP_41,lcp,黑白翻转棋,黑白翻转棋,fHi6rV,"Breadth-First Search|breadth-first-search|广度优先搜索,Array|array|数组,Matrix|matrix|矩阵",Medium,False,
LCP 44,LCP_44,lcp,开幕式焰火,开幕式焰火,sZ59z6,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Hash Table|hash-table|哈希表,Binary Tree|binary-tree|二叉树",Easy,False,
98,jz_offer_II_098,offer2,路径的数目,路径的数目,2AoeFn,"Math|math|数学,Dynamic Programming|dynamic-programming|动态规划,Combinatorics|combinatorics|组合数学",Medium,False,
LCP 43,LCP_43,lcp,十字路口的交通,十字路口的交通,Y1VbOX,"Array|array|数组,String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
LCP 39,LCP_39,lcp,无人机方阵,无人机方阵,0jQkd0,"Array|array|数组,Hash Table|hash-table|哈希表,Counting|counting|计数,Matrix|matrix|矩阵",Easy,False,
LCP 47,LCP_47,lcp,入场安检,入场安检,oPs9Bm,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
LCP 49,LCP_49,lcp,环形闯关游戏,环形闯关游戏,K8GULz,"Bit Manipulation|bit-manipulation|位运算,Union Find|union-find|并查集,Array|array|数组,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Hard,False,
78,jz_offer_II_078,offer2,合并排序链表,合并排序链表,vvXgSW,"Linked List|linked-list|链表,Divide and Conquer|divide-and-conquer|分治,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）,Merge Sort|merge-sort|归并排序",Hard,False,
116,jz_offer_II_116,offer2,省份数量,省份数量,bLyHh0,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Graph|graph|图",Medium,False,
80,jz_offer_II_080,offer2,含有 k 个元素的组合,含有 k 个元素的组合,uUsW3B,"Array|array|数组,Backtracking|backtracking|回溯",Medium,False,
79,jz_offer_II_079,offer2,所有子集,所有子集,TVdhkn,"Bit Manipulation|bit-manipulation|位运算,Array|array|数组,Backtracking|backtracking|回溯",Medium,False,
75,jz_offer_II_075,offer2,数组相对排序,数组相对排序,0H97ZC,"Array|array|数组,Hash Table|hash-table|哈希表,Counting Sort|counting-sort|计数排序,Sorting|sorting|排序",Easy,False,
74,jz_offer_II_074,offer2,合并区间,合并区间,SsGoHC,"Array|array|数组,Sorting|sorting|排序",Medium,True,
77,jz_offer_II_077,offer2,链表排序,链表排序,7WHec2,"Linked List|linked-list|链表,Two Pointers|two-pointers|双指针,Divide and Conquer|divide-and-conquer|分治,Sorting|sorting|排序,Merge Sort|merge-sort|归并排序",Medium,False,
76,jz_offer_II_076,offer2,数组中的第 k 大的数字,数组中的第 k 大的数字,xx4gT2,"Array|array|数组,Divide and Conquer|divide-and-conquer|分治,Quickselect|quickselect|快速选择,Sorting|sorting|排序,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Medium,False,
73,jz_offer_II_073,offer2,狒狒吃香蕉,狒狒吃香蕉,nZZqjQ,"Array|array|数组,Binary Search|binary-search|二分查找",Medium,False,
72,jz_offer_II_072,offer2,求平方根,求平方根,jJ0w9p,"Math|math|数学,Binary Search|binary-search|二分查找",Easy,False,
71,jz_offer_II_071,offer2,按权重生成随机数,按权重生成随机数,cuyjEf,"Array|array|数组,Math|math|数学,Binary Search|binary-search|二分查找,Prefix Sum|prefix-sum|前缀和,Randomized|randomized|随机化",Medium,False,
68,jz_offer_II_068,offer2,查找插入位置,查找插入位置,N6YdxV,"Array|array|数组,Binary Search|binary-search|二分查找",Easy,False,
70,jz_offer_II_070,offer2,排序数组中只出现一次的数字,排序数组中只出现一次的数字,skFtm2,"Array|array|数组,Binary Search|binary-search|二分查找",Medium,False,
69,jz_offer_II_069,offer2,山峰数组的顶部,山峰数组的顶部,B1IidL,"Array|array|数组,Binary Search|binary-search|二分查找",Easy,False,
64,jz_offer_II_064,offer2,神奇的字典,神奇的字典,US1pGT,"Depth-First Search|depth-first-search|深度优先搜索,Design|design|设计,Trie|trie|字典树,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
67,jz_offer_II_067,offer2,最大的异或,最大的异或,ms70jA,"Bit Manipulation|bit-manipulation|位运算,Trie|trie|字典树,Array|array|数组,Hash Table|hash-table|哈希表",Medium,False,
66,jz_offer_II_066,offer2,单词之和,单词之和,z1R5dt,"Design|design|设计,Trie|trie|字典树,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
65,jz_offer_II_065,offer2,最短的单词编码,最短的单词编码,iSwD2y,"Trie|trie|字典树,Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
63,jz_offer_II_063,offer2,替换单词,替换单词,UhWRSj,"Trie|trie|字典树,Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
61,jz_offer_II_061,offer2,和最小的 k 个数对,和最小的 k 个数对,qn8gGX,"Array|array|数组,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Medium,False,
60,jz_offer_II_060,offer2,出现频率最高的 k 个数字,出现频率最高的 k 个数字,g5c51o,"Array|array|数组,Hash Table|hash-table|哈希表,Divide and Conquer|divide-and-conquer|分治,Bucket Sort|bucket-sort|桶排序,Counting|counting|计数,Quickselect|quickselect|快速选择,Sorting|sorting|排序,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Medium,False,
57,jz_offer_II_057,offer2,值和下标之差都在给定的范围内,值和下标之差都在给定的范围内,7WqeDu,"Array|array|数组,Bucket Sort|bucket-sort|桶排序,Ordered Set|ordered-set|有序集合,Sorting|sorting|排序,Sliding Window|sliding-window|滑动窗口",Medium,False,
58,jz_offer_II_058,offer2,日程表,日程表,fi9suh,"Design|design|设计,Segment Tree|segment-tree|线段树,Binary Search|binary-search|二分查找,Ordered Set|ordered-set|有序集合",Medium,False,
62,jz_offer_II_062,offer2,实现前缀树,实现前缀树,QC3q1f,"Design|design|设计,Trie|trie|字典树,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
117,jz_offer_II_117,offer2,相似的字符串,相似的字符串,H6lPxb,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串",Hard,False,
59,jz_offer_II_059,offer2,数据流的第 K 大数值,数据流的第 K 大数值,jBjn9C,"Tree|tree|树,Design|design|设计,Binary Search Tree|binary-search-tree|二叉搜索树,Binary Tree|binary-tree|二叉树,Data Stream|data-stream|数据流,Heap (Priority Queue)|heap-priority-queue|堆（优先队列）",Easy,False,
56,jz_offer_II_056,offer2,二叉搜索树中两个节点之和,二叉搜索树中两个节点之和,opLdQZ,"Array|array|数组,Sliding Window|sliding-window|滑动窗口",Easy,False,
119,jz_offer_II_119,offer2,最长连续序列,最长连续序列,WhsWhI,"Union Find|union-find|并查集,Array|array|数组,Hash Table|hash-table|哈希表",Medium,False,
115,jz_offer_II_115,offer2,重建序列,重建序列,ur2n8P,"Graph|graph|图,Topological Sort|topological-sort|拓扑排序,Array|array|数组",Medium,False,
118,jz_offer_II_118,offer2,多余的边,多余的边,7LpjUW,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Graph|graph|图",Medium,False,
55,jz_offer_II_055,offer2,二叉搜索树迭代器,二叉搜索树迭代器,kTOapQ,"Stack|stack|栈,Tree|tree|树,Design|design|设计,Binary Search Tree|binary-search-tree|二叉搜索树,Binary Tree|binary-tree|二叉树,Iterator|iterator|迭代器",Medium,False,
54,jz_offer_II_054,offer2,所有大于等于节点的值之和,所有大于等于节点的值之和,w6cpku,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Search Tree|binary-search-tree|二叉搜索树,Binary Tree|binary-tree|二叉树",Medium,False,
52,jz_offer_II_052,offer2,展平二叉搜索树,展平二叉搜索树,NYBBNL,"Stack|stack|栈,Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Search Tree|binary-search-tree|二叉搜索树,Binary Tree|binary-tree|二叉树",Easy,False,
51,jz_offer_II_051,offer2,节点之和最大的路径,节点之和最大的路径,jC7MId,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Dynamic Programming|dynamic-programming|动态规划,Binary Tree|binary-tree|二叉树",Hard,False,
53,jz_offer_II_053,offer2,二叉搜索树中的中序后继,二叉搜索树中的中序后继,P5rCT8,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Search Tree|binary-search-tree|二叉搜索树,Binary Tree|binary-tree|二叉树",Medium,False,
49,jz_offer_II_049,offer2,从根节点到叶节点的路径数字之和,从根节点到叶节点的路径数字之和,3Etpl5,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
114,jz_offer_II_114,offer2,外星文字典,外星文字典,Jf1JuT,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Topological Sort|topological-sort|拓扑排序,Array|array|数组,String|string|字符串",Hard,False,
113,jz_offer_II_113,offer2,课程顺序,课程顺序,QA2IGt,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Topological Sort|topological-sort|拓扑排序",Medium,False,
50,jz_offer_II_050,offer2,向下的路径节点之和,向下的路径节点之和,6eUYwP,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
112,jz_offer_II_112,offer2,最长递增路径,最长递增路径,fpTFWP,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Topological Sort|topological-sort|拓扑排序,Memoization|memoization|记忆化搜索,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵",Hard,False,
109,jz_offer_II_109,offer2,开密码锁,开密码锁,zlDJc7,"Breadth-First Search|breadth-first-search|广度优先搜索,Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串",Medium,False,
47,jz_offer_II_047,offer2,二叉树剪枝,二叉树剪枝,pOCWxh,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
110,jz_offer_II_110,offer2,所有路径,所有路径,bP4bmD,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Backtracking|backtracking|回溯",Medium,False,
111,jz_offer_II_111,offer2,计算除法,计算除法,vlzXQL,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Graph|graph|图,Array|array|数组,Shortest Path|shortest-path|最短路",Medium,False,
48,jz_offer_II_048,offer2,序列化与反序列化二叉树,序列化与反序列化二叉树,h54YBf,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Design|design|设计,String|string|字符串,Binary Tree|binary-tree|二叉树",Hard,False,
46,jz_offer_II_046,offer2,二叉树的右侧视图,二叉树的右侧视图,WNC0Lk,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
108,jz_offer_II_108,offer2,单词演变,单词演变,om3reC,"Breadth-First Search|breadth-first-search|广度优先搜索,Hash Table|hash-table|哈希表,String|string|字符串",Hard,False,
45,jz_offer_II_045,offer2,二叉树最底层最左边的值,二叉树最底层最左边的值,LwUNpT,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
106,jz_offer_II_106,offer2,二分图,二分图,vEAB3K,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Graph|graph|图",Medium,False,
107,jz_offer_II_107,offer2,矩阵中的距离,矩阵中的距离,2bCMpM,"Breadth-First Search|breadth-first-search|广度优先搜索,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵",Medium,False,
44,jz_offer_II_044,offer2,二叉树每层的最大值,二叉树每层的最大值,hPov7L,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
41,jz_offer_II_041,offer2,滑动窗口的平均值,滑动窗口的平均值,qIsx9U,"Design|design|设计,Queue|queue|队列,Array|array|数组,Data Stream|data-stream|数据流",Easy,False,
43,jz_offer_II_043,offer2,往完全二叉树添加节点,往完全二叉树添加节点,NaqhDT,"Tree|tree|树,Breadth-First Search|breadth-first-search|广度优先搜索,Design|design|设计,Binary Tree|binary-tree|二叉树",Medium,False,
42,jz_offer_II_042,offer2,最近请求次数,最近请求次数,H8086Q,"Design|design|设计,Queue|queue|队列,Data Stream|data-stream|数据流",Easy,False,
101,jz_offer_II_101,offer2,分割等和子集,分割等和子集,NUPfPr,"Math|math|数学,String|string|字符串,Simulation|simulation|模拟",Easy,True,
105,jz_offer_II_105,offer2,岛屿的最大面积,岛屿的最大面积,ZL6zAn,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Union Find|union-find|并查集,Array|array|数组,Matrix|matrix|矩阵",Medium,False,
100,jz_offer_II_100,offer2,三角形中最小路径之和,三角形中最小路径之和,IlPe0q,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
104,jz_offer_II_104,offer2,排列的数目,排列的数目,D0F0SV,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
103,jz_offer_II_103,offer2,最少的硬币数目,最少的硬币数目,gaM7Ch,"Breadth-First Search|breadth-first-search|广度优先搜索,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
99,jz_offer_II_099,offer2,最小路径之和,最小路径之和,0i0mDW,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵",Medium,False,
102,jz_offer_II_102,offer2,加减的目标值,加减的目标值,YaVDxD,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Backtracking|backtracking|回溯",Medium,False,
39,jz_offer_II_039,offer2,直方图最大矩形面积,直方图最大矩形面积,0ynMMM,"Stack|stack|栈,Array|array|数组,Monotonic Stack|monotonic-stack|单调栈",Hard,False,
97,jz_offer_II_097,offer2,子序列的数目,子序列的数目,21dk04,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
38,jz_offer_II_038,offer2,每日温度,每日温度,iIQa4I,"Stack|stack|栈,Array|array|数组,Monotonic Stack|monotonic-stack|单调栈",Medium,False,
37,jz_offer_II_037,offer2,小行星碰撞,小行星碰撞,XagZNi,"Stack|stack|栈,Array|array|数组,Simulation|simulation|模拟",Medium,False,
40,jz_offer_II_040,offer2,矩阵中最大的矩形,矩阵中最大的矩形,PLYXKQ,"Stack|stack|栈,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵,Monotonic Stack|monotonic-stack|单调栈",Hard,False,
96,jz_offer_II_096,offer2,字符串交织,字符串交织,IY6buf,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
36,jz_offer_II_036,offer2,后缀表达式,后缀表达式,8Zf90G,"Stack|stack|栈,Array|array|数组,Math|math|数学",Medium,False,
95,jz_offer_II_095,offer2,最长公共子序列,最长公共子序列,qJnOS7,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
35,jz_offer_II_035,offer2,最小时间差,最小时间差,569nqc,"Array|array|数组,Math|math|数学,String|string|字符串,Sorting|sorting|排序",Medium,False,
33,jz_offer_II_033,offer2,变位词组,变位词组,sfvd7V,"Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串,Sorting|sorting|排序",Medium,False,
94,jz_offer_II_094,offer2,最少回文分割,最少回文分割,omKAoA,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
34,jz_offer_II_034,offer2,外星语言是否排序,外星语言是否排序,lwyVBB,"Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串",Easy,False,
93,jz_offer_II_093,offer2,最长斐波那契数列,最长斐波那契数列,Q91FMA,"Array|array|数组,Hash Table|hash-table|哈希表,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
32,jz_offer_II_032,offer2,有效的变位词,有效的变位词,dKk3P7,"Hash Table|hash-table|哈希表,String|string|字符串,Sorting|sorting|排序",Easy,False,
31,jz_offer_II_031,offer2,最近最少使用缓存,最近最少使用缓存,OrIXps,"Design|design|设计,Hash Table|hash-table|哈希表,Linked List|linked-list|链表,Doubly-Linked List|doubly-linked-list|双向链表",Medium,True,
90,jz_offer_II_090,offer2,环形房屋偷盗,环形房屋偷盗,PzWKhm,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
92,jz_offer_II_092,offer2,翻转字符,翻转字符,cyJERH,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
28,jz_offer_II_028,offer2,展平多级双向链表,展平多级双向链表,Qv1Da2,"Depth-First Search|depth-first-search|深度优先搜索,Linked List|linked-list|链表,Doubly-Linked List|doubly-linked-list|双向链表",Medium,False,
30,jz_offer_II_030,offer2,插入、删除和随机访问都是 O(1) 的容器,插入、删除和随机访问都是 O(1) 的容器,FortPu,"Design|design|设计,Array|array|数组,Hash Table|hash-table|哈希表,Math|math|数学,Randomized|randomized|随机化",Medium,False,
29,jz_offer_II_029,offer2,排序的循环链表,排序的循环链表,4ueAj6,Linked List|linked-list|链表,Medium,False,
91,jz_offer_II_091,offer2,粉刷房子,粉刷房子,JEj789,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
26,jz_offer_II_026,offer2,重排链表,重排链表,LGjMqU,"Stack|stack|栈,Recursion|recursion|递归,Linked List|linked-list|链表,Two Pointers|two-pointers|双指针",Medium,False,
22,jz_offer_II_022,offer2,链表中环的入口节点,链表中环的入口节点,c32eOV,"Hash Table|hash-table|哈希表,Linked List|linked-list|链表,Two Pointers|two-pointers|双指针",Medium,False,
27,jz_offer_II_027,offer2,回文链表,回文链表,aMhZSa,"Stack|stack|栈,Recursion|recursion|递归,Linked List|linked-list|链表,Two Pointers|two-pointers|双指针",Easy,True,
24,jz_offer_II_024,offer2,反转链表,反转链表,UHnkqh,"Recursion|recursion|递归,Linked List|linked-list|链表",Easy,False,
25,jz_offer_II_025,offer2,链表中的两数相加,链表中的两数相加,lMSNwu,"Stack|stack|栈,Linked List|linked-list|链表,Math|math|数学",Medium,False,
23,jz_offer_II_023,offer2,两个链表的第一个重合节点,两个链表的第一个重合节点,3u1WK4,"Hash Table|hash-table|哈希表,Linked List|linked-list|链表,Two Pointers|two-pointers|双指针",Easy,False,
20,jz_offer_II_020,offer2,回文子字符串的个数,回文子字符串的个数,a7VOhD,"String|string|字符串,Dynamic Programming|dynamic-programming|动态规划",Medium,False,
19,jz_offer_II_019,offer2,最多删除一个字符得到回文,最多删除一个字符得到回文,RQku0D,"Greedy|greedy|贪心,Two Pointers|two-pointers|双指针,String|string|字符串",Easy,False,
21,jz_offer_II_021,offer2,删除链表的倒数第 n 个结点,删除链表的倒数第 n 个结点,SLwz0R,"Linked List|linked-list|链表,Two Pointers|two-pointers|双指针",Medium,False,
17,jz_offer_II_017,offer2,含有所有字符的最短字符串,含有所有字符的最短字符串,M1oyTv,"Hash Table|hash-table|哈希表,String|string|字符串,Sliding Window|sliding-window|滑动窗口",Hard,False,
18,jz_offer_II_018,offer2,有效的回文,有效的回文,XltzEq,"Two Pointers|two-pointers|双指针,String|string|字符串",Easy,False,
16,jz_offer_II_016,offer2,不含重复字符的最长子字符串,不含重复字符的最长子字符串,wtcaE1,"Hash Table|hash-table|哈希表,String|string|字符串,Sliding Window|sliding-window|滑动窗口",Medium,False,
15,jz_offer_II_015,offer2,字符串中的所有变位词,字符串中的所有变位词,VabMRr,"Hash Table|hash-table|哈希表,String|string|字符串,Sliding Window|sliding-window|滑动窗口",Medium,False,
13,jz_offer_II_013,offer2,二维子矩阵的和,二维子矩阵的和,O4NDxx,"Design|design|设计,Array|array|数组,Matrix|matrix|矩阵,Prefix Sum|prefix-sum|前缀和",Medium,False,
11,jz_offer_II_011,offer2,0 和 1 个数相同的子数组,0 和 1 个数相同的子数组,A1NYOS,"Array|array|数组,Hash Table|hash-table|哈希表,Prefix Sum|prefix-sum|前缀和",Medium,False,
14,jz_offer_II_014,offer2,字符串中的变位词,字符串中的变位词,MPnaiL,"Hash Table|hash-table|哈希表,Two Pointers|two-pointers|双指针,String|string|字符串,Sliding Window|sliding-window|滑动窗口",Medium,False,
12,jz_offer_II_012,offer2,左右两边子数组的和相等,左右两边子数组的和相等,tvdfij,"Array|array|数组,Prefix Sum|prefix-sum|前缀和",Easy,False,
10,jz_offer_II_010,offer2,和为 k 的子数组,和为 k 的子数组,QTMn0o,"Array|array|数组,Hash Table|hash-table|哈希表,Prefix Sum|prefix-sum|前缀和",Medium,False,
9,jz_offer_II_009,offer2,乘积小于 K 的子数组,乘积小于 K 的子数组,ZVAVXX,"Array|array|数组,Sliding Window|sliding-window|滑动窗口",Medium,False,
