序号,所在目录,标题,标题末尾,标题链接,标题链接末尾路径,标签,网站题解链接,github 题解链接,通过率,难度,题解数目
0013,0001-0099,0013. 罗马数字转整数,罗马数字转整数,https://leetcode.com/problems/roman-to-integer/,roman-to-integer,哈希表、数学、字符串,https://2xiao.github.io/fe/leetcode/problem/0013,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0013.md,62.0%,简单,6679
0014,0001-0099,0014. 最长公共前缀,最长公共前缀,https://leetcode.com/problems/longest-common-prefix/,longest-common-prefix,字典树、字符串,https://2xiao.github.io/fe/leetcode/problem/0014,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0014.md,43.4%,简单,6736
0015,0001-0099,0015. 三数之和,三数之和,https://leetcode.com/problems/3sum/,3sum,数组、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/0015,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0015.md,37.0%,中等,5927
0016,0001-0099,0016. 最接近的三数之和,最接近的三数之和,https://leetcode.com/problems/3sum-closest/,3sum-closest,数组、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/0016,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0016.md,44.8%,中等,2456
0017,0001-0099,0017. 电话号码的字母组合,电话号码的字母组合,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,letter-combinations-of-a-phone-number,哈希表、字符串、回溯,https://2xiao.github.io/fe/leetcode/problem/0017,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0017.md,58.1%,中等,5547
0018,0001-0099,0018. 四数之和,四数之和,https://leetcode.com/problems/4sum/,4sum,数组、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/0018,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0018.md,36.8%,中等,2880
0019,0001-0099,0019. 删除链表的倒数第 N 个结点,删除链表的倒数第 N 个结点,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,remove-nth-node-from-end-of-list,链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0019,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0019.md,45.6%,中等,7944
0020,0001-0099,0020. 有效的括号,有效的括号,https://leetcode.com/problems/valid-parentheses/,valid-parentheses,栈、字符串,https://2xiao.github.io/fe/leetcode/problem/0020,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0020.md,44.0%,简单,9710
0021,0001-0099,0021. 合并两个有序链表,合并两个有序链表,https://leetcode.com/problems/merge-two-sorted-lists/,merge-two-sorted-lists,递归、链表,https://2xiao.github.io/fe/leetcode/problem/0021,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0021.md,66.2%,简单,7227
0022,0001-0099,0022. 括号生成,括号生成,https://leetcode.com/problems/generate-parentheses/,generate-parentheses,字符串、动态规划、回溯,https://2xiao.github.io/fe/leetcode/problem/0022,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0022.md,77.5%,中等,4751
0023,0001-0099,0023. 合并 K 个升序链表,合并 K 个升序链表,https://leetcode.com/problems/merge-k-sorted-lists/,merge-k-sorted-lists,链表、分治、堆（优先队列）、归并排序,https://2xiao.github.io/fe/leetcode/problem/0023,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0023.md,57.8%,困难,4267
0024,0001-0099,0024. 两两交换链表中的节点,两两交换链表中的节点,https://leetcode.com/problems/swap-nodes-in-pairs/,swap-nodes-in-pairs,递归、链表,https://2xiao.github.io/fe/leetcode/problem/0024,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0024.md,71.3%,中等,4583
0025,0001-0099,0025. K 个一组翻转链表,K 个一组翻转链表,https://leetcode.com/problems/reverse-nodes-in-k-group/,reverse-nodes-in-k-group,递归、链表,https://2xiao.github.io/fe/leetcode/problem/0025,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0025.md,67.7%,困难,3911
0026,0001-0099,0026. 删除有序数组中的重复项,删除有序数组中的重复项,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,remove-duplicates-from-sorted-array,数组、双指针,https://2xiao.github.io/fe/leetcode/problem/0026,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0026.md,54.8%,简单,8460
0027,0001-0099,0027. 移除元素,移除元素,https://leetcode.com/problems/remove-element/,remove-element,数组、双指针,https://2xiao.github.io/fe/leetcode/problem/0027,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0027.md,59.2%,简单,7895
0028,0001-0099,0028. 找出字符串中第一个匹配项的下标,找出字符串中第一个匹配项的下标,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,find-the-index-of-the-first-occurrence-in-a-string,双指针、字符串、字符串匹配,https://2xiao.github.io/fe/leetcode/problem/0028,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0028.md,42.5%,中等,5825
0029,0001-0099,0029. 两数相除,两数相除,https://leetcode.com/problems/divide-two-integers/,divide-two-integers,位运算、数学,https://2xiao.github.io/fe/leetcode/problem/0029,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0029.md,22.2%,中等,1575
0030,0001-0099,0030. 串联所有单词的子串,串联所有单词的子串,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,substring-with-concatenation-of-all-words,哈希表、字符串、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/0030,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0030.md,39.6%,困难,1300
0031,0001-0099,0031. 下一个排列,下一个排列,https://leetcode.com/problems/next-permutation/,next-permutation,数组、双指针,https://2xiao.github.io/fe/leetcode/problem/0031,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0031.md,38.3%,中等,3214
0032,0001-0099,0032. 最长有效括号,最长有效括号,https://leetcode.com/problems/longest-valid-parentheses/,longest-valid-parentheses,栈、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0032,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0032.md,37.2%,困难,2312
0033,0001-0099,0033. 搜索旋转排序数组,搜索旋转排序数组,https://leetcode.com/problems/search-in-rotated-sorted-array/,search-in-rotated-sorted-array,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/0033,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0033.md,43.8%,中等,4631
0034,0001-0099,0034. 在排序数组中查找元素的第一个和最后一个位置,在排序数组中查找元素的第一个和最后一个位置,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,find-first-and-last-position-of-element-in-sorted-array,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/0034,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0034.md,42.4%,中等,7442
0035,0001-0099,0035. 搜索插入位置,搜索插入位置,https://leetcode.com/problems/search-insert-position/,search-insert-position,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/0035,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0035.md,45.0%,简单,7586
0036,0001-0099,0036. 有效的数独,有效的数独,https://leetcode.com/problems/valid-sudoku/,valid-sudoku,数组、哈希表、矩阵,https://2xiao.github.io/fe/leetcode/problem/0036,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0036.md,63.0%,中等,2646
0037,0001-0099,0037. 解数独,解数独,https://leetcode.com/problems/sudoku-solver/,sudoku-solver,数组、哈希表、回溯、矩阵,https://2xiao.github.io/fe/leetcode/problem/0037,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0037.md,67.6%,困难,1595
0038,0001-0099,0038. 外观数列,外观数列,https://leetcode.com/problems/count-and-say/,count-and-say,字符串,https://2xiao.github.io/fe/leetcode/problem/0038,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0038.md,60.4%,中等,3274
0039,0001-0099,0039. 组合总和,组合总和,https://leetcode.com/problems/combination-sum/,combination-sum,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0039,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0039.md,72.4%,中等,3907
0040,0001-0099,0040. 组合总和 II,组合总和 II,https://leetcode.com/problems/combination-sum-ii/,combination-sum-ii,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0040,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0040.md,59.7%,中等,2734
0041,0001-0099,0041. 缺失的第一个正数,缺失的第一个正数,https://leetcode.com/problems/first-missing-positive/,first-missing-positive,数组、哈希表,https://2xiao.github.io/fe/leetcode/problem/0041,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0041.md,43.1%,困难,2202
0042,0001-0099,0042. 接雨水,接雨水,https://leetcode.com/problems/trapping-rain-water/,trapping-rain-water,栈、数组、双指针、动态规划、单调栈,https://2xiao.github.io/fe/leetcode/problem/0042,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0042.md,62.8%,困难,4396
0043,0001-0099,0043. 字符串相乘,字符串相乘,https://leetcode.com/problems/multiply-strings/,multiply-strings,数学、字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0043,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0043.md,44.4%,中等,2056
0044,0001-0099,0044. 通配符匹配,通配符匹配,https://leetcode.com/problems/wildcard-matching/,wildcard-matching,贪心、递归、字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0044,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0044.md,33.8%,困难,905
0045,0001-0099,0045. 跳跃游戏 II,跳跃游戏 II,https://leetcode.com/problems/jump-game-ii/,jump-game-ii,贪心、数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0045,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0045.md,45.1%,中等,3378
0046,0001-0099,0046. 全排列,全排列,https://leetcode.com/problems/permutations/,permutations,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0046,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0046.md,78.9%,中等,5792
0047,0001-0099,0047. 全排列 II,全排列 II,https://leetcode.com/problems/permutations-ii/,permutations-ii,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0047,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0047.md,65.5%,中等,2867
0048,0001-0099,0048. 旋转图像,旋转图像,https://leetcode.com/problems/rotate-image/,rotate-image,数组、数学、矩阵,https://2xiao.github.io/fe/leetcode/problem/0048,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0048.md,74.7%,中等,4452
0049,0001-0099,0049. 字母异位词分组,字母异位词分组,https://leetcode.com/problems/group-anagrams/,group-anagrams,数组、哈希表、字符串、排序,https://2xiao.github.io/fe/leetcode/problem/0049,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0049.md,67.8%,中等,2594
0050,0001-0099,"0050. Pow(x, n)","Pow(x, n)",https://leetcode.com/problems/powx-n/,powx-n,递归、数学,https://2xiao.github.io/fe/leetcode/problem/0050,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0050.md,38.0%,中等,2123
0051,0001-0099,0051. N 皇后,N 皇后,https://leetcode.com/problems/n-queens/,n-queens,数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0051,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0051.md,74.1%,困难,3011
0052,0001-0099,0052. N 皇后 II,N 皇后 II,https://leetcode.com/problems/n-queens-ii/,n-queens-ii,回溯,https://2xiao.github.io/fe/leetcode/problem/0052,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0052.md,82.4%,困难,933
0053,0001-0099,0053. 最大子数组和,最大子数组和,https://leetcode.com/problems/maximum-subarray/,maximum-subarray,数组、分治、动态规划,https://2xiao.github.io/fe/leetcode/problem/0053,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0053.md,54.8%,中等,6888
0054,0001-0099,0054. 螺旋矩阵,螺旋矩阵,https://leetcode.com/problems/spiral-matrix/,spiral-matrix,数组、矩阵、模拟,https://2xiao.github.io/fe/leetcode/problem/0054,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0054.md,49.3%,中等,3875
0055,0001-0099,0055. 跳跃游戏,跳跃游戏,https://leetcode.com/problems/jump-game/,jump-game,贪心、数组、动态规划,https://2xiao.github.io/fe/leetcode/problem/0055,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0055.md,43.6%,中等,4932
0056,0001-0099,0056. 合并区间,合并区间,https://leetcode.com/problems/merge-intervals/,merge-intervals,数组、排序,https://2xiao.github.io/fe/leetcode/problem/0056,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0056.md,49.4%,中等,4215
0057,0001-0099,0057. 插入区间,插入区间,https://leetcode.com/problems/insert-interval/,insert-interval,数组,https://2xiao.github.io/fe/leetcode/problem/0057,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0057.md,42.0%,中等,1414
0058,0001-0099,0058. 最后一个单词的长度,最后一个单词的长度,https://leetcode.com/problems/length-of-last-word/,length-of-last-word,字符串,https://2xiao.github.io/fe/leetcode/problem/0058,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0058.md,42.8%,简单,4621
0059,0001-0099,0059. 螺旋矩阵 II,螺旋矩阵 II,https://leetcode.com/problems/spiral-matrix-ii/,spiral-matrix-ii,数组、矩阵、模拟,https://2xiao.github.io/fe/leetcode/problem/0059,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0059.md,72.8%,中等,3443
0060,0001-0099,0060. 排列序列,排列序列,https://leetcode.com/problems/permutation-sequence/,permutation-sequence,递归、数学,https://2xiao.github.io/fe/leetcode/problem/0060,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0060.md,53.5%,困难,1431
0061,0001-0099,0061. 旋转链表,旋转链表,https://leetcode.com/problems/rotate-list/,rotate-list,链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0061,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0061.md,41.4%,中等,3060
0062,0001-0099,0062. 不同路径,不同路径,https://leetcode.com/problems/unique-paths/,unique-paths,数学、动态规划、组合数学,https://2xiao.github.io/fe/leetcode/problem/0062,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0062.md,67.8%,中等,4228
0063,0001-0099,0063. 不同路径 II,不同路径 II,https://leetcode.com/problems/unique-paths-ii/,unique-paths-ii,数组、动态规划、矩阵,https://2xiao.github.io/fe/leetcode/problem/0063,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0063.md,41.1%,中等,3006
0064,0001-0099,0064. 最小路径和,最小路径和,https://leetcode.com/problems/minimum-path-sum/,minimum-path-sum,数组、动态规划、矩阵,https://2xiao.github.io/fe/leetcode/problem/0064,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0064.md,69.5%,中等,3408
0065,0001-0099,0065. 有效数字,有效数字,https://leetcode.com/problems/valid-number/,valid-number,字符串,https://2xiao.github.io/fe/leetcode/problem/0065,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0065.md,27.6%,困难,924
0066,0001-0099,0066. 加一,加一,https://leetcode.com/problems/plus-one/,plus-one,数组、数学,https://2xiao.github.io/fe/leetcode/problem/0066,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0066.md,45.1%,简单,5659
0067,0001-0099,0067. 二进制求和,二进制求和,https://leetcode.com/problems/add-binary/,add-binary,位运算、数学、字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0067,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0067.md,53.0%,简单,2929
0068,0001-0099,0068. 文本左右对齐,文本左右对齐,https://leetcode.com/problems/text-justification/,text-justification,数组、字符串、模拟,https://2xiao.github.io/fe/leetcode/problem/0068,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0068.md,52.4%,困难,802
0069,0001-0099,0069. x 的平方根,x 的平方根,https://leetcode.com/problems/sqrtx/,sqrtx,数学、二分查找,https://2xiao.github.io/fe/leetcode/problem/0069,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0069.md,38.4%,简单,3757
0070,0001-0099,0070. 爬楼梯,爬楼梯,https://leetcode.com/problems/climbing-stairs/,climbing-stairs,记忆化搜索、数学、动态规划,https://2xiao.github.io/fe/leetcode/problem/0070,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0070.md,54.1%,简单,6311
0071,0001-0099,0071. 简化路径,简化路径,https://leetcode.com/problems/simplify-path/,simplify-path,栈、字符串,https://2xiao.github.io/fe/leetcode/problem/0071,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0071.md,44.2%,中等,1650
0072,0001-0099,0072. 编辑距离,编辑距离,https://leetcode.com/problems/edit-distance/,edit-distance,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0072,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0072.md,62.8%,困难,3123
0073,0001-0099,0073. 矩阵置零,矩阵置零,https://leetcode.com/problems/set-matrix-zeroes/,set-matrix-zeroes,数组、哈希表、矩阵,https://2xiao.github.io/fe/leetcode/problem/0073,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0073.md,63.2%,中等,1831
0074,0001-0099,0074. 搜索二维矩阵,搜索二维矩阵,https://leetcode.com/problems/search-a-2d-matrix/,search-a-2d-matrix,数组、二分查找、矩阵,https://2xiao.github.io/fe/leetcode/problem/0074,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0074.md,48.7%,中等,2963
0075,0001-0099,0075. 颜色分类,颜色分类,https://leetcode.com/problems/sort-colors/,sort-colors,数组、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/0075,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0075.md,60.4%,中等,3600
0076,0001-0099,0076. 最小覆盖子串,最小覆盖子串,https://leetcode.com/problems/minimum-window-substring/,minimum-window-substring,哈希表、字符串、滑动窗口,https://2xiao.github.io/fe/leetcode/problem/0076,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0076.md,45.2%,困难,3407
0077,0001-0099,0077. 组合,组合,https://leetcode.com/problems/combinations/,combinations,回溯,https://2xiao.github.io/fe/leetcode/problem/0077,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0077.md,77.1%,中等,2912
0078,0001-0099,0078. 子集,子集,https://leetcode.com/problems/subsets/,subsets,位运算、数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0078,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0078.md,81.1%,中等,4313
0079,0001-0099,0079. 单词搜索,单词搜索,https://leetcode.com/problems/word-search/,word-search,数组、回溯、矩阵,https://2xiao.github.io/fe/leetcode/problem/0079,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0079.md,46.3%,中等,2603
0080,0001-0099,0080. 删除有序数组中的重复项 II,删除有序数组中的重复项 II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,remove-duplicates-from-sorted-array-ii,数组、双指针,https://2xiao.github.io/fe/leetcode/problem/0080,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0080.md,61.7%,中等,1974
0081,0001-0099,0081. 搜索旋转排序数组 II,搜索旋转排序数组 II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,search-in-rotated-sorted-array-ii,数组、二分查找,https://2xiao.github.io/fe/leetcode/problem/0081,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0081.md,41.0%,中等,1461
0082,0001-0099,0082. 删除排序链表中的重复元素 II,删除排序链表中的重复元素 II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,remove-duplicates-from-sorted-list-ii,链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0082,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0082.md,53.5%,中等,2784
0083,0001-0099,0083. 删除排序链表中的重复元素,删除排序链表中的重复元素,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,remove-duplicates-from-sorted-list,链表,https://2xiao.github.io/fe/leetcode/problem/0083,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0083.md,53.1%,简单,3606
0084,0001-0099,0084. 柱状图中最大的矩形,柱状图中最大的矩形,https://leetcode.com/problems/largest-rectangle-in-histogram/,largest-rectangle-in-histogram,栈、数组、单调栈,https://2xiao.github.io/fe/leetcode/problem/0084,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0084.md,45.0%,困难,1984
0085,0001-0099,0085. 最大矩形,最大矩形,https://leetcode.com/problems/maximal-rectangle/,maximal-rectangle,栈、数组、动态规划、矩阵、单调栈,https://2xiao.github.io/fe/leetcode/problem/0085,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0085.md,54.7%,困难,1196
0086,0001-0099,0086. 分隔链表,分隔链表,https://leetcode.com/problems/partition-list/,partition-list,链表、双指针,https://2xiao.github.io/fe/leetcode/problem/0086,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0086.md,64.2%,中等,2083
0087,0001-0099,0087. 扰乱字符串,扰乱字符串,https://leetcode.com/problems/scramble-string/,scramble-string,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0087,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0087.md,47.3%,困难,440
0088,0001-0099,0088. 合并两个有序数组,合并两个有序数组,https://leetcode.com/problems/merge-sorted-array/,merge-sorted-array,数组、双指针、排序,https://2xiao.github.io/fe/leetcode/problem/0088,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0088.md,52.5%,简单,6055
0089,0001-0099,0089. 格雷编码,格雷编码,https://leetcode.com/problems/gray-code/,gray-code,位运算、数学、回溯,https://2xiao.github.io/fe/leetcode/problem/0089,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0089.md,75.5%,中等,906
0090,0001-0099,0090. 子集 II,子集 II,https://leetcode.com/problems/subsets-ii/,subsets-ii,位运算、数组、回溯,https://2xiao.github.io/fe/leetcode/problem/0090,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0090.md,63.6%,中等,2267
0091,0001-0099,0091. 解码方法,解码方法,https://leetcode.com/problems/decode-ways/,decode-ways,字符串、动态规划,https://2xiao.github.io/fe/leetcode/problem/0091,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0091.md,33.2%,中等,2315
0092,0001-0099,0092. 反转链表 II,反转链表 II,https://leetcode.com/problems/reverse-linked-list-ii/,reverse-linked-list-ii,链表,https://2xiao.github.io/fe/leetcode/problem/0092,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0092.md,55.7%,中等,3711
0093,0001-0099,0093. 复原 IP 地址,复原 IP 地址,https://leetcode.com/problems/restore-ip-addresses/,restore-ip-addresses,字符串、回溯,https://2xiao.github.io/fe/leetcode/problem/0093,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0093.md,58.1%,中等,2476
0094,0001-0099,0094. 二叉树的中序遍历,二叉树的中序遍历,https://leetcode.com/problems/binary-tree-inorder-traversal/,binary-tree-inorder-traversal,栈、树、深度优先搜索、二叉树,https://2xiao.github.io/fe/leetcode/problem/0094,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0094.md,76.2%,简单,4277
0095,0001-0099,0095. 不同的二叉搜索树 II,不同的二叉搜索树 II,https://leetcode.com/problems/unique-binary-search-trees-ii/,unique-binary-search-trees-ii,树、二叉搜索树、动态规划、回溯、二叉树,https://2xiao.github.io/fe/leetcode/problem/0095,https://github.com/2xiao/fe/blob/sourcecode/docs/leetcode/problem/0095.md,73.4%,中等,1054
